Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-12-18 15:12 (EST),On Demand,Jess King,30,Cycling,Theme,30 min The Jess King Experience,2020-11-19 19:53 (EST),232,129,43%,79,17.73,8.86,431,147.29,,
2020-12-18 15:44 (EST),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-23 15:35 (EST),,,,,,,49,118.41,,
2020-12-19 10:00 (EST),On Demand,Robin Arzon,30,Cycling,Theme,30 min PyeongChang Ride,2018-02-16 05:51 (EST),245,136,44%,80,18.06,9.03,487,159.27,,
2020-12-19 10:33 (EST),On Demand,Hannah Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-11 09:00 (EST),,,,,,,54,124.50,,
2020-12-19 10:42 (EST),On Demand,Olivia Amato,10,Strength,Full Body,10 min 200k Strong Full Body Strength,2019-11-08 14:00 (EST),,,,,,,143,146.97,,
2020-12-20 12:44 (EST),On Demand,Ally Love,30,Cycling,Theme,30 min Sundays with Love: Live From Home,2020-06-21 12:54 (EST),254,140,46%,78,18.35,9.25,467,154.14,,
2020-12-20 13:16 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,2020-09-28 08:30 (EST),24,81,37%,75,14.83,1.24,63,136.55,,
2020-12-20 13:22 (EST),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-13 13:34 (EST),,,,,,,50,119.95,,
2020-12-21 07:48 (EST),On Demand,Ross Rayburn,5,Meditation,Audio Only,5 min Energizing Meditation,2020-11-24 11:00 (EST),,,,,,,,,,
2020-12-21 10:52 (EST),On Demand,Olivia Amato,20,Cycling,Music,20 min House Ride,2020-12-18 12:00 (EST),188,157,47%,81,19.21,6.40,361,171.02,,
2020-12-21 11:14 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 08:30 (EST),,,,,,,57,128.83,,
2020-12-21 11:23 (EST),On Demand,Emma Lovewell,10,Strength,Pilates,10 min Intro to Pilates,2020-12-16 09:00 (EST),,,,,,,93,114.67,,
2020-12-22 16:25 (EST),On Demand,Aditi Shah,15,Strength,Pilates,15 min Intro to Pilates,2020-12-16 09:00 (EST),,,,,,,98,,,
2020-12-22 16:59 (EST),On Demand,Olivia Amato,10,Strength,Full Body,10 min Full Body Strength,2018-10-30 10:52 (EST),,,,,,,65,,,
2020-12-23 10:24 (EST),On Demand,Hannah Corbin,20,Cycling,Music,20 min Latin Ride,2018-10-04 10:19 (EST),136,113,39%,84,16.89,5.62,269,141.52,,
2020-12-23 10:45 (EST),On Demand,Hannah Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-05-31 10:00 (EST),,,,,,,44,111.66,,
2020-12-23 10:54 (EST),On Demand,Sam Yo,10,Strength,Pilates,10 min Intro to Pilates,2020-12-16 09:00 (EST),,,,,,,60,93.58,,
2020-12-24 14:45 (EST),On Demand,Multiple Instructors ,45,Cycling,Theme,45 min All For One Ride,2020-07-02 09:00 (EST),359,133,44%,81,17.92,13.44,695,154.20,,
2020-12-24 15:32 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-02-22 15:27 (EST),,,,,,,53,123.72,,
2020-12-25 12:36 (EST),On Demand,Olivia Amato,30,Cycling,Theme,30 min Holiday Ride,2019-12-13 11:19 (EST),279,155,47%,78,18.98,9.49,517,165.78,,
2020-12-25 13:07 (EST),On Demand,Olivia Amato,5,Cycling,Low Impact,5 min Cool Down Ride,2020-03-01 07:30 (EST),12,41,28%,70,10.67,0.89,64,137.85,,
2020-12-25 13:13 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 08:30 (EST),,,,,,,55,125.80,,
2020-12-26 12:51 (EST),On Demand,Olivia Amato,5,Cycling,Low Impact,5 min Warm Up Ride,2020-07-20 09:00 (EST),40,136,37%,98,18.05,1.49,60,133.18,,
2020-12-26 12:57 (EST),On Demand,Olivia Amato,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-10-19 06:39 (EST),,,,,,,97,117.53,,
2020-12-27 10:23 (EST),On Demand,Ben Alldis,20,Strength,Bodyweight,20 min The Beatles Bodyweight Strength,2020-12-25 04:00 (EST),,,,,,,130,,,
2020-12-27 10:47 (EST),On Demand,Olivia Amato,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2020-08-04 10:00 (EST),,,,,,,65,,,
2020-12-28 10:42 (EST),On Demand,Emma Lovewell,20,Strength,Pilates,20 min Pilates,2020-12-16 09:00 (EST),,,,,,,130,,,
2020-12-28 11:06 (EST),On Demand,Olivia Amato,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-09-05 10:00 (EST),,,,,,,33,,,
2020-12-28 16:29 (EST),On Demand,Ross Rayburn,10,Meditation,Mindfulness,10 min Seasonal Meditation,2020-12-11 09:38 (EST),,,,,,,,,,
2020-12-29 10:24 (EST),On Demand,Jess Sims,20,Strength,Bodyweight,20 min Year of Yes Bodyweight Strength,2020-12-20 09:00 (EST),,,,,,,130,,,
